Driver_type,FROM_ORG_UNIT_ID,FROM_COST_TYPE_ID,TO_COST_TYPE_ID,TO_ORG_UNIT_ID,VALUE,V_MAKER_REMARKS
CPTTPB,117700121698,99,9901,117700121698,1.0,
CPTTPB,117700122698,99,9901,117700122698,1.0,
CPTTPB,117700123698,99,9901,117700123698,1.0,
CPTTPB,117700124698,99,9901,117700124698,1.0,
CPTTPB,117700125698,99,9901,117700125698,1.0,
CPTTPB,117700126698,99,9901,117700126698,1.0,
CPTTPB,117700128618,99,9901,117700128618,1.0,
CPTTPB,117700129618,99,9901,117700129618,1.0,
CPTTPB,117700130698,99,9901,117700130698,1.0,
CPTTPB,117700132698,99,9901,117700132698,1.0,
CPTTPB,117700133618,99,9901,117700133618,1.0,
CPTTPB,117700134618,99,9901,117700134618,1.0,
CPTTPB,117700135698,99,9901,117700135698,1.0,
CPTTPB,117700136618,99,9901,117700136618,1.0,
CPTTPB,117700138698,99,9901,117700138698,1.0,
CPTTPB,117700139618,99,9901,117700139618,1.0,
CPTTPB,117700140698,99,9901,117700140698,1.0,
CPTTPB,117700141698,99,9901,117700141698,1.0,
CPTTPB,117700144618,99,9901,117700144618,1.0,
CPTTPB,117700145618,99,9901,117700145618,1.0,
CPTTPB,117700147698,99,9901,117700147698,1.0,
CPTTPB,117700149618,99,9901,117700149618,1.0,
CPTTPB,117700150698,99,9901,117700150698,1.0,
CPTTPB,117700151698,99,9901,117700151698,1.0,
CPTTPB,117700159618,99,9901,117700159618,1.0,
CPTTPB,117700160698,99,9901,117700160698,1.0,
CPTTPB,117700166618,99,9901,117700166618,1.0,
CPTTPB,117700168618,99,9901,117700168618,1.0,
CPTTPB,117700169618,99,9901,117700169618,1.0,
CPTTPB,117700177618,99,9901,117700177618,1.0,
CPTTPB,117700179618,99,9901,117700179618,1.0,
CPTTPB,117700180618,99,9901,117700180618,1.0,
CPTTPB,117700181618,99,9901,117700181618,1.0,
CPTTPB,117700186618,99,9901,117700186618,1.0,
CPTTPB,117700188618,99,9901,117700188618,1.0,
CPTTPB,117700189618,99,9901,117700189618,1.0,
CPTTPB,117700199618,99,9901,117700199618,1.0,
CPTTPB,117700211698,99,9901,117700211698,1.0,
CPTTPB,117700212698,99,9901,117700212698,1.0,
CPTTPB,117700213698,99,9901,117700213698,1.0,
CPTTPB,117700214608,99,9901,117700214608,1.0,
CPTTPB,117700214698,99,9901,117700214698,1.0,
CPTTPB,117700215698,99,9901,117700215698,1.0,
CPTTPB,117700216618,99,9901,117700216618,1.0,
CPTTPB,117700217618,99,9901,117700217618,1.0,
CPTTPB,117700220698,99,9901,117700220698,1.0,
CPTTPB,117700222698,99,9901,117700222698,1.0,
CPTTPB,117700256618,99,9901,117700256618,1.0,
CPTTPB,117700260698,99,9901,117700260698,1.0,
CPTTPB,117700261618,99,9901,117700261618,1.0,
CPTTPB,117700268618,99,9901,117700268618,1.0,
CPTTPB,117700279618,99,9901,117700279618,1.0,
CPTTPB,117700289618,99,9901,117700289618,1.0,
CPTTPB,117700310698,99,9901,117700310698,1.0,
CPTTPB,117700311618,99,9901,117700311618,1.0,
CPTTPB,117700313698,99,9901,117700313698,1.0,
CPTTPB,117700314618,99,9901,117700314618,1.0,
CPTTPB,117700315618,99,9901,117700315618,1.0,
CPTTPB,117700317618,99,9901,117700317618,1.0,
CPTTPB,117700318618,99,9901,117700318618,1.0,
CPTTPB,117700319618,99,9901,117700319618,1.0,
CPTTPB,117700321698,99,9901,117700321698,1.0,
CPTTPB,117700323618,99,9901,117700323618,1.0,
CPTTPB,117700328618,99,9901,117700328618,1.0,
CPTTPB,117700330698,99,9901,117700330698,1.0,
CPTTPB,117700341618,99,9901,117700341618,1.0,
CPTTPB,117700345618,99,9901,117700345618,1.0,
CPTTPB,117700351698,99,9901,117700351698,1.0,
CPTTPB,117700360618,99,9901,117700360618,1.0,
CPTTPB,117700362618,99,9901,117700362618,1.0,
CPTTPB,117700368618,99,9901,117700368618,1.0,
CPTTPB,117700371698,99,9901,117700371698,1.0,
CPTTPB,117700375698,99,9901,117700375698,1.0,
CPTTPB,117700376618,99,9901,117700376618,1.0,
CPTTPB,117700390698,99,9901,117700390698,1.0,
CPTTPB,117700395618,99,9901,117700395618,1.0,
CPTTPB,117700398618,99,9901,117700398618,1.0,
