Lv0,Lv1,Lv2,Lv3,Lv4,LvPK,Size
1.17401E+11,1.17401E+11,1.17401E+11,1.12301E+11,1.12301E+11,11,36045905
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.12201E+12,15,46926
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.13101E+12,41,0
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.13101E+12,99,384
1.21501E+11,1.21501E+11,1.21501E+11,1.21501E+11,1.11301E+11,61,262461
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.11301E+11,90,87584
1.22401E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.11101E+11,22,1303
1.22401E+11,1.11501E+11,1.11501E+11,1.11501E+11,1.11101E+11,21,17741
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11301E+11,22,359
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.12301E+11,22,59940
1.22401E+11,1.17401E+11,1.17401E+11,1.13101E+12,1.13101E+12,61,21
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.13101E+12,11,36
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.13101E+12,24,0
1.12501E+11,1.12501E+11,1.12501E+11,1.12501E+11,1.10101E+11,15,0
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.11301E+11,21,26
1.21501E+11,1.21501E+11,1.21501E+11,1.21501E+11,1.12201E+12,31,42265
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.12201E+12,61,1636
1.17401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.22501E+11,11,74521876
1.174E+11,1.174E+11,1.17401E+11,1.15501E+11,1.12301E+11,12,7053
1.22401E+11,1.17401E+11,1.17401E+11,1.12301E+11,1.12301E+11,19,541
1.22401E+11,1.17401E+11,1.17401E+11,1.14501E+11,1.13101E+12,23,84
1.22401E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.11301E+11,61,49
1.174E+11,1.174E+11,1.17401E+11,1.15501E+11,1.12201E+12,11,0
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.17501E+11,12,27760
1.174E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,31,23116
1.14501E+11,1.14501E+11,1.14501E+11,1.14501E+11,1.11101E+11,19,93198
1.17401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.11301E+11,14,123394
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12301E+11,41,92
1.174E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,21,1344643
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,61,48
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11101E+11,21,58468
1.22401E+11,1.17401E+11,1.17401E+11,1.12301E+11,1.12301E+11,22,58957
1.174E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,14,159546
1.22401E+11,1.174E+11,1.17401E+11,1.14501E+11,1.12301E+11,90,1
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.11301E+11,90,84
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.12201E+12,90,0
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.11101E+11,21,14
1.174E+11,1.174E+11,1.22501E+11,1.22501E+11,1.11101E+11,19,0
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.10101E+11,14,0
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.13101E+12,15,402
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.10101E+11,23,0
1.11301E+11,1.11301E+11,1.11301E+11,1.11301E+11,1.11301E+11,31,19815865
1.22401E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.11101E+11,23,41428
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.11301E+11,23,0
1.22401E+11,1.174E+11,1.14201E+11,1.14201E+11,1.14201E+11,15,16886
1.22401E+11,1.174E+11,1.17401E+11,1.14501E+11,1.13101E+12,15,2
1.22401E+11,1.12501E+11,1.12501E+11,1.12501E+11,1.12301E+11,51,444
1.11101E+11,1.11101E+11,1.11101E+11,1.11101E+11,1.11101E+11,24,5940627
1.22401E+11,1.172E+11,1.172E+11,1.172E+11,1.172E+11,99,15732143
1.22401E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11301E+11,14,119
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.11301E+11,22,671104
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,14,16719
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,22,37432
1.22401E+11,1.22501E+11,1.22501E+11,1.22501E+11,1.11301E+11,23,41076
1.22401E+11,1.174E+11,1.17401E+11,1.17501E+11,1.10101E+11,51,0
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.13101E+12,13,1189968
1.174E+11,1.174E+11,1.17401E+11,1.14501E+11,1.13101E+12,23,1084
1.174E+11,1.174E+11,1.15501E+11,1.15501E+11,1.13101E+12,21,0
1.174E+11,1.174E+11,1.13101E+12,1.13101E+12,1.13101E+12,51,31871
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,13,33
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.12301E+11,31,322
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12301E+11,22,1018895
1.22401E+11,1.17401E+11,1.17401E+11,1.11501E+11,1.12201E+11,11,2
1.22401E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.12201E+11,22,63
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,12,39917
1.21501E+11,1.21501E+11,1.21501E+11,1.21501E+11,1.12201E+12,21,2458351
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,15,1492
1.22401E+11,1.22501E+11,1.22501E+11,1.22501E+11,1.22501E+11,51,15875
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.12201E+12,31,0
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.12301E+11,19,551
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.12201E+12,41,78
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12201E+11,13,1377
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,15,549
1.22401E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.12201E+11,23,17
1.22401E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.11301E+11,11,36
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.13101E+12,24,3
1.22401E+11,1.174E+11,1.14501E+11,1.14501E+11,1.12301E+11,24,43476
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,51,1
1.174E+11,1.174E+11,1.17401E+11,1.11501E+11,1.12301E+11,22,130
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,15,476
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,23,37336
1.174E+11,1.174E+11,1.17401E+11,1.12201E+11,1.12201E+11,21,121307
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.10101E+11,31,0
1.22401E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.11101E+11,15,3213
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.13101E+12,22,200280
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.13101E+12,51,0
1.22401E+11,1.22501E+11,1.22501E+11,1.22501E+11,1.11301E+11,14,18404
